1	0	30
2	1297235	99
3	1297327	27
4	1297419	80
5	1297508	13
6	1297565	138
7	1297640	124
8	1297701	110
9	1297755	97
10	1297811	21
11	1297860	4
12	1300360	88
13	1300486	50
14	1300627	68
15	1301646	325
16	1303194	144
17	1304690	53
18	1304848	19
19	1304913	100
20	1307380	10
21	1307665	6
22	1308053	385
23	1309446	20
24	1309471	135
25	1310901	23
26	1311044	72
27	1311143	23
28	1311219	91
29	1311335	156
30	1311433	379
31	1313060	227
32	1313190	92
33	1314608	132
34	1314702	8
35	1314758	159
36	1316496	57
37	1316586	260
38	1317648	20
39	1317678	127
40	1320615	22
41	1320678	110
42	1322097	61
43	1322245	43
44	1322286	8
45	1322314	127
46	1324043	131
47	1324221	91
48	1324326	132
49	1326029	320
50	1327079	121
51	1327271	15
52	1327383	47
53	1327463	57
54	1327536	157
55	1327719	68
56	1327852	79
57	1327949	98
58	1328033	86
59	1328120	285
60	1328247	27
61	1328334	83
62	1328489	185
63	1330235	358
64	1331647	27
65	1331785	277
66	1336279	43
67	1336352	12
68	1336449	180
69	1336526	87
70	1336600	135
71	1336674	86
72	1336769	24
73	1336856	59
74	1336917	54
75	1336973	35
76	1337027	3
77	1337088	13
78	1337149	360
79	1340587	207
80	1340723	72
81	1340754	219
82	1342271	6
83	1342347	31
84	1342406	109
85	1342462	8
86	1342555	19
87	1342631	2
88	1342687	132
89	1342797	8
90	1342915	68
91	1343088	58
92	1343199	179
93	1343315	190
94	1343436	29
95	1343537	43
96	1343997	628
97	1345538	125
98	1359120	110
99	1359710	278
100	1368131	125
101	1378939	66
102	1379206	114
103	1379543	16
104	1379659	80
105	1380187	258
106	1382407	35
107	1382524	132
108	1384382	60
109	1384473	60
110	1385938	69
111	1386042	5
112	1386894	7
113	1387110	189
114	1393487	51
115	1395191	22
116	1396295	9
117	1396581	254
118	1398307	35
119	1398658	145
120	1398906	35
121	1400163	3
122	1402779	28
123	1413260	36
124	1413623	97
125	1414235	17
126	1414475	83
127	1417464	177
128	1417707	57
129	1417751	6
130	1417834	147
131	1418807	34
132	1439013	18
133	1439156	110
134	1442309	98
135	1443243	35
136	1444100	16
137	1444358	148
138	1445360	57
139	1446322	102
140	1446494	2
141	1458538	111
142	1475622	35
143	1476017	279
144	1476144	3
145	1476392	120
146	1476541	124
147	1476730	333
148	1478847	40
149	1479116	94
150	1487733	313
151	1494822	31
152	1648235	402
153	1649348	7
154	1649467	102
155	1649513	152
156	1650933	33
157	1651074	98
158	1651175	118
159	1651206	131
160	1653410	14
161	1653510	22
162	1653539	164
163	1655318	340
164	1655636	49
165	1655822	260
166	1655903	231
167	1657514	139
168	1657629	91
169	1657689	20
170	1657735	122
171	1659719	5
172	1659860	168
173	1661150	10
174	1661705	191
175	1661799	254
176	1662996	111
177	1676931	324
178	1678998	186
179	1679199	103
180	1679293	55
181	1679413	166
182	1680252	155
183	1680447	147
184	1680548	57
185	1680644	196
186	1680746	15
187	1680838	14
188	1681107	1
189	1681234	68
190	1681296	277
191	1682895	12
192	1683206	89
193	1683423	179
194	1683521	33
195	1683594	6
196	1683660	170
197	1685101	54
198	1685265	33
199	1685339	78
200	1687627	34
201	1687765	1
202	1687819	473
